RUN,REGION,YEAR,VALUE
nz-2050_hp-01,E07000226,2050,463.0615134239733
nz-2050_hp-01,E07000226,2055,451.2696546729601
nz-2050_hp-01,E07000226,2060,659.1228078759019
nz-2050_hp-01,E07000227,2015,504.30065405660037
nz-2050_hp-01,E07000227,2021,664.1103282495513
nz-2050_hp-01,E07000227,2023,599.6755411164945
nz-2050_hp-01,E07000227,2025,518.4173365157452
nz-2050_hp-01,E07000227,2030,518.5551832487582
nz-2050_hp-01,E07000227,2035,507.2595349399997
nz-2050_hp-01,E07000227,2040,467.5597095091508
nz-2050_hp-01,E07000227,2045,415.02883093316245
nz-2050_hp-01,E07000227,2050,449.5254832250273
nz-2050_hp-01,E07000227,2055,419.8100916692495
nz-2050_hp-01,E07000227,2060,641.072379623612
nz-2050_hp-01,E07000228,2015,479.2442470127008
nz-2050_hp-01,E07000228,2021,630.0038029496957
nz-2050_hp-01,E07000228,2023,564.9387199697702
nz-2050_hp-01,E07000228,2025,496.7708705765776
nz-2050_hp-01,E07000228,2030,502.7296514517084
nz-2050_hp-01,E07000228,2035,496.180530101922
nz-2050_hp-01,E07000228,2040,471.16685505237297
nz-2050_hp-01,E07000228,2045,419.04470982670546
nz-2050_hp-01,E07000228,2050,453.83519206649873
nz-2050_hp-01,E07000228,2055,425.2391136305639
nz-2050_hp-01,E07000228,2060,632.4316224093193
nz-2050_hp-01,E07000229,2015,368.31582654297154
nz-2050_hp-01,E07000229,2021,493.18696777698807
nz-2050_hp-01,E07000229,2023,431.36139921816056
nz-2050_hp-01,E07000229,2025,381.63524295406256
nz-2050_hp-01,E07000229,2030,379.5764549442847
nz-2050_hp-01,E07000229,2035,383.6550943328674
nz-2050_hp-01,E07000229,2040,384.6461864508366
nz-2050_hp-01,E07000229,2045,378.6206727702014
nz-2050_hp-01,E07000229,2050,421.84862550207777
nz-2050_hp-01,E07000229,2055,407.8462178055362
nz-2050_hp-01,E07000229,2060,599.2131601771598
nz-2050_hp-01,E07000234,2015,510.1985168003842
nz-2050_hp-01,E07000234,2021,669.0446096064117
nz-2050_hp-01,E07000234,2023,595.3127798885396
nz-2050_hp-01,E07000234,2025,528.3648321798718
nz-2050_hp-01,E07000234,2030,535.8934038766237
nz-2050_hp-01,E07000234,2035,528.0189430157774
nz-2050_hp-01,E07000234,2040,498.71696175730915
nz-2050_hp-01,E07000234,2045,451.1331631168808
nz-2050_hp-01,E07000234,2050,492.4281802176127
nz-2050_hp-01,E07000234,2055,448.32519887061346
nz-2050_hp-01,E07000234,2060,682.8968776834729
nz-2050_hp-01,E07000235,2015,592.0635019517623
nz-2050_hp-01,E07000235,2021,776.865263106101
nz-2050_hp-01,E07000235,2023,716.645395484508
nz-2050_hp-01,E07000235,2025,620.3395588138765
nz-2050_hp-01,E07000235,2030,635.2483110986336
nz-2050_hp-01,E07000235,2035,592.3048369129697
nz-2050_hp-01,E07000235,2040,504.3413742744305
nz-2050_hp-01,E07000235,2045,427.2970791614367
nz-2050_hp-01,E07000235,2050,442.7417428733745
nz-2050_hp-01,E07000235,2055,411.06305676848615
nz-2050_hp-01,E07000235,2060,611.5758829085671
nz-2050_hp-01,E07000236,2015,420.45797781184257
nz-2050_hp-01,E07000236,2021,561.3562118828996
nz-2050_hp-01,E07000236,2023,493.3445435469333
nz-2050_hp-01,E07000236,2025,443.81244656928214
nz-2050_hp-01,E07000236,2030,452.5418901744247
nz-2050_hp-01,E07000236,2035,454.21060899002435
nz-2050_hp-01,E07000236,2040,447.82705029672843
nz-2050_hp-01,E07000236,2045,409.2204563779526
nz-2050_hp-01,E07000236,2050,452.05264443572133
nz-2050_hp-01,E07000236,2055,429.47346980837165
nz-2050_hp-01,E07000236,2060,648.2608095531436
nz-2050_hp-01,E07000237,2015,382.6104412078612
nz-2050_hp-01,E07000237,2021,512.1439234192794
nz-2050_hp-01,E07000237,2023,450.3099173389889
nz-2050_hp-01,E07000237,2025,399.70607104054216
nz-2050_hp-01,E07000237,2030,400.6512944331673
nz-2050_hp-01,E07000237,2035,402.0878808710902
nz-2050_hp-01,E07000237,2040,399.5068226727842
nz-2050_hp-01,E07000237,2045,385.78944549597895
nz-2050_hp-01,E07000237,2050,423.50091152452114
nz-2050_hp-01,E07000237,2055,421.4681930552991
nz-2050_hp-01,E07000237,2060,628.5795518925386
nz-2050_hp-01,E07000238,2015,500.49770321355766
nz-2050_hp-01,E07000238,2021,651.0943721575762
nz-2050_hp-01,E07000238,2023,585.5246526099385
nz-2050_hp-01,E07000238,2025,510.70483159622154
