REGION,PROPERTY_TYPE,YEAR,VALUE
E06000015,Flats,2050,20292.4
E06000015,Flats,2055,20735.0
E06000015,Flats,2060,21007.0
E06000015,Semi-detached,2015,44748.166666666664
E06000015,Semi-detached,2021,45179.0
E06000015,Semi-detached,2023,45537.5
E06000015,Semi-detached,2025,46194.2
E06000015,Semi-detached,2030,47279.2
E06000015,Semi-detached,2035,48441.4
E06000015,Semi-detached,2040,49532.6
E06000015,Semi-detached,2045,50598.4
E06000015,Semi-detached,2050,51701.0
E06000015,Semi-detached,2055,52828.0
E06000015,Semi-detached,2060,53513.0
E06000015,Terraced,2015,29397.333333333332
E06000015,Terraced,2021,29734.0
E06000015,Terraced,2023,29973.0
E06000015,Terraced,2025,30410.8
E06000015,Terraced,2030,31136.6
E06000015,Terraced,2035,31897.2
E06000015,Terraced,2040,32600.4
E06000015,Terraced,2045,33306.8
E06000015,Terraced,2050,34034.0
E06000015,Terraced,2055,34775.8
E06000015,Terraced,2060,35230.0
E06000016,Detached,2015,9102.0
E06000016,Detached,2021,9416.0
E06000016,Detached,2023,9523.0
E06000016,Detached,2025,9718.4
E06000016,Detached,2030,10050.0
E06000016,Detached,2035,10324.8
E06000016,Detached,2040,10543.6
E06000016,Detached,2045,10764.2
E06000016,Detached,2050,10994.8
E06000016,Detached,2055,11212.6
E06000016,Detached,2060,11343.0
E06000016,Flats,2015,35603.666666666664
E06000016,Flats,2021,38996.0
E06000016,Flats,2023,39447.5
E06000016,Flats,2025,40279.4
E06000016,Flats,2030,41564.2
E06000016,Flats,2035,42733.8
E06000016,Flats,2040,43665.6
E06000016,Flats,2045,44555.0
E06000016,Flats,2050,45467.2
E06000016,Flats,2055,46396.0
E06000016,Flats,2060,46952.0
E06000016,Semi-detached,2015,42303.666666666664
E06000016,Semi-detached,2021,42671.5
E06000016,Semi-detached,2023,43169.5
E06000016,Semi-detached,2025,44076.8
E06000016,Semi-detached,2030,45478.8
E06000016,Semi-detached,2035,46769.4
E06000016,Semi-detached,2040,47793.8
E06000016,Semi-detached,2045,48770.0
E06000016,Semi-detached,2050,49764.0
E06000016,Semi-detached,2055,50765.0
E06000016,Semi-detached,2060,51377.0
E06000016,Terraced,2015,49628.333333333336
E06000016,Terraced,2021,50185.0
E06000016,Terraced,2023,50769.0
E06000016,Terraced,2025,51839.4
E06000016,Terraced,2030,53482.4
E06000016,Terraced,2035,55001.6
E06000016,Terraced,2040,56203.6
E06000016,Terraced,2045,57339.8
E06000016,Terraced,2050,58513.2
E06000016,Terraced,2055,59700.2
E06000016,Terraced,2060,60424.0
E06000017,Detached,2015,6298.5
E06000017,Detached,2021,6602.5
E06000017,Detached,2023,6758.0
E06000017,Detached,2025,7012.8
E06000017,Detached,2030,7330.4
E06000017,Detached,2035,7610.2
E06000017,Detached,2040,7875.4
E06000017,Detached,2045,8144.6
E06000017,Detached,2050,8424.0
E06000017,Detached,2055,8713.6
E06000017,Detached,2060,8894.0
E06000017,Flats,2015,1340.0
E06000017,Flats,2021,1443.5
E06000017,Flats,2023,1478.5
E06000017,Flats,2025,1534.2
E06000017,Flats,2030,1603.2
E06000017,Flats,2035,1664.2
E06000017,Flats,2040,1723.6
E06000017,Flats,2045,1781.2
E06000017,Flats,2050,1841.4
E06000017,Flats,2055,1904.8
E06000017,Flats,2060,1938.0
E06000017,Semi-detached,2015,5797.333333333333
E06000017,Semi-detached,2021,6009.0
E06000017,Semi-detached,2023,6151.5
E06000017,Semi-detached,2025,6381.8
E06000017,Semi-detached,2030,6672.0
E06000017,Semi-detached,2035,6926.6
E06000017,Semi-detached,2040,7166.2
E06000017,Semi-detached,2045,7413.2
E06000017,Semi-detached,2050,7666.0
E06000017,Semi-detached,2055,7929.2
E06000017,Semi-detached,2060,8090.0
E06000017,Terraced,2015,3490.6666666666665
E06000017,Terraced,2021,3681.0
E06000017,Terraced,2023,3769.0
E06000017,Terraced,2025,3907.4
E06000017,Terraced,2030,4082.0
E06000017,Terraced,2035,4239.6
E06000017,Terraced,2040,4390.2
E06000017,Terraced,2045,4538.2
E06000017,Terraced,2050,4692.2
E06000017,Terraced,2055,4855.8
E06000017,Terraced,2060,4954.0
E06000018,Detached,2015,13203.666666666666
E06000018,Detached,2021,13541.0
E06000018,Detached,2023,13640.0
E06000018,Detached,2025,13885.8
E06000018,Detached,2030,14311.4
E06000018,Detached,2035,14670.8
E06000018,Detached,2040,14943.6
E06000018,Detached,2045,15229.4
E06000018,Detached,2050,15518.4
E06000018,Detached,2055,15788.0
E06000018,Detached,2060,15955.0
E06000018,Flats,2015,37670.333333333336
E06000018,Flats,2021,40443.0
E06000018,Flats,2023,40730.0
E06000018,Flats,2025,41471.0
