YEAR,RUN,TECHNOLOGY,VALUE
2050,nz-2045_hp-00,Building retrofit,112886.52205509109
2050,nz-2045_hp-01,Gas boiler,0.0
2050,nz-2045_hp-01,Oil boiler,0.0
2050,nz-2045_hp-01,Electric storage heater,0.018344057663335203
2050,nz-2045_hp-01,Electric resistance heater,40664.62011737328
2050,nz-2045_hp-01,Biomass boiler,213.66217576257228
2050,nz-2045_hp-01,Heat interface unit,129831.94619925432
2050,nz-2045_hp-01,Air-source HP,1313619.5828049558
2050,nz-2045_hp-01,Ground-source HP,163761.10642604475
2050,nz-2045_hp-01,H2 boiler,2359.4778933880193
2050,nz-2045_hp-01,Building retrofit,114157.57136394197
2050,nz-2050_hp-00,Gas boiler,803442.3131190691
2050,nz-2050_hp-00,Oil boiler,377626.0864239783
2050,nz-2050_hp-00,Electric storage heater,0.0005235847748523638
2050,nz-2050_hp-00,Electric resistance heater,109123.25348664798
2050,nz-2050_hp-00,Biomass boiler,125.03663537295564
2050,nz-2050_hp-00,Heat interface unit,341936.3106237828
2050,nz-2050_hp-00,Air-source HP,41679.496801974485
2050,nz-2050_hp-00,Ground-source HP,0.0006539491498978294
